1er Arrondissement,2e Arrondissement,3e Arrondissement,4e Arrondissement,5e Arrondissement,6e Arrondissement,7e Arrondissement,8e Arrondissement,9e Arrondissement,10e Arrondissement,11e Arrondissement,12e Arrondissement,13e Arrondissement,14e Arrondissement,15e Arrondissement,16e Arrondissement,17e Arrondissement,18e Arrondissement,19e Arrondissement,20e Arrondissement
1,0,1,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,2
6,8,5,9,16,15,17,20,26,28,43,30,48,36,62,40,47,43,44,49
0,0,1,0,1,0,1,1,1,1,3,4,2,2,7,2,1,5,5,2
8,10,7,9,10,8,11,14,18,25,27,17,19,15,20,22,33,25,29,18
20,27,36,30,64,30,39,61,84,157,153,99,79,75,140,80,140,307,140,161
38,33,43,47,66,58,73,65,75,84,117,124,96,99,170,94,128,143,93,120
6,10,3,11,17,14,18,16,23,46,43,43,39,38,60,37,46,84,57,54
4,2,4,0,6,4,4,3,5,7,10,8,9,8,15,7,11,9,7,8
0,2,3,3,4,3,3,4,6,7,4,8,3,5,5,11,12,18,5,2
44,38,27,46,94,100,52,78,81,79,78,88,57,67,96,67,73,56,46,39
415,283,302,294,83,425,193,593,328,331,247,143,129,144,290,437,365,326,150,120
27,17,20,44,12,46,44,85,42,33,38,32,18,24,47,59,44,52,22,18
71,24,42,51,13,80,35,96,71,35,42,19,24,26,50,54,60,42,17,22
5,3,5,5,3,3,6,31,26,14,23,14,10,3,29,12,21,23,11,17
30,21,26,19,12,37,68,82,25,23,54,55,9,24,48,65,57,24,15,20
20,9,13,18,8,10,7,33,17,15,28,22,21,20,37,17,35,17,13,16
2,5,4,3,0,15,17,19,3,2,7,4,2,2,14,12,12,2,6,0
7,5,6,2,9,6,15,8,10,14,31,18,11,9,17,19,21,21,7,15
96,50,44,72,28,53,35,187,91,135,59,34,32,29,73,78,55,119,42,33
120,59,52,30,10,58,41,139,80,42,19,20,24,14,53,70,52,49,14,13
20,16,18,26,23,21,37,32,34,34,47,43,38,38,70,62,58,57,23,38
36,30,42,43,37,46,35,87,64,64,84,55,54,44,84,84,97,80,72,67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,4,5,8,8,4,26,15,6,14,15,8,13,27,28,20,9,12,17
4,0,0,0,0,0,1,2,0,2,0,5,6,3,9,6,3,4,4,5
